D,I,idx,opt_val
0.7897872723475683,0.7897872659388518,0,2.222912426611953
0.5114047374929986,0.5114047375677312,1,1.8819373823560195
1.0535994929255361,1.0535994777470918,2,1.4760486900482597
1.164406535479424,1.164406228855388,3,1.826703670721625
0.49245074973276004,0.49245034632649765,4,1.5646994930736122
0.6426921032311564,0.6426909118207773,5,0.996981176074069
0.4971429599119893,0.4971429240220149,6,0.7662945730248027
0.5018119768874232,0.5018118973927312,7,0.3374095366282408
0.7425119164348062,0.7425117574303526,8,0.9594023729329125
0.9483141111733412,0.948314102737125,9,1.1224998405175373
0.4780931318835494,0.4780931318905859,10,1.177149538149061
0.512442734429941,0.5124427332613287,11,-0.4911874839734274
0.8547219007663416,0.8547213110929726,12,1.1193463348166977
0.5147142273708939,0.5147142273710198,13,1.3353067901923077
0.9744624700753548,0.9744622956911091,14,1.666154711026422
1.1644062303862022,1.1644061791566582,15,1.817308636078891
0.973591869580265,0.9735918492236795,16,1.5766855906436947
0.556771274056463,0.5567703441124092,17,0.2917771520951552
1.0147575857455817,1.0147575857455455,18,0.7306042787627176
0.4965028577107671,0.4965028577111342,19,1.222073245616846
1.164406305693852,1.1644060839571255,20,2.3202319610515247
0.9875495214090788,0.9875494348088512,21,1.2602185010724187
1.0786101268517017,1.0786100329436161,22,0.23035626752355598
1.1644059229525512,1.164405922967458,23,1.5810966659710304
0.8884285657479702,0.88842856436899,24,2.6342994908780466
0.7503291926603203,0.7503291904253874,25,0.6439128082667935
0.6935003434537099,0.693500342959751,26,0.9954859734093864
0.5875651825645881,0.5875650938865299,27,2.030226935747341
0.676844799897679,0.6768447949170098,28,0.4226094101016328
0.6785510037300719,0.6785502400772033,29,0.0165670878716159
0.8855627093081642,0.8855627093078815,30,0.8752143986662908
0.5404560682406825,0.5404560682364632,31,0.9179293190835014
1.1644063118664976,1.164406077733373,32,0.2465915376598119
0.7741593518683281,0.774159334898091,33,1.0517429767470916
0.5433186196122364,0.5433186196131875,34,-0.6559793981966646
1.0543234715064536,1.054323471511304,35,1.8799704376755813
0.5885519446451959,0.5885519445506523,36,0.6612520576382986
0.5038951196394494,0.5038945571812548,37,1.6310502330963805
0.5686594719624145,0.5686594719733568,38,1.1669472248264352
0.9421435887936476,0.9421435737224694,39,2.0557119055741846
0.6108394628274809,0.6108394628269492,40,1.731782938560641
0.5267257446682138,0.5267257290180329,41,2.0545747258002103
0.6456362109380165,0.645636206924571,42,0.28332650161065565
0.5221684704955161,0.5221684587262975,43,0.12667462915073066
0.49361911513856127,0.4936190918801606,44,1.2537122012154305
0.7324917217066721,0.7324917186465462,45,0.7059548657987936
0.7368389757284697,0.736838272372719,46,-0.17841325997256585
0.5164891997025407,0.5164891997159491,47,1.2319116359730895
0.5124215842106721,0.5124215641653556,48,0.9175163183343074
0.5206930389133415,0.5206930389133478,49,1.0822377551539861
