D,I,idx,is_ppt,min_pt_eig,separable_if_low_dim
0.2894586915891896,0.28945869157904425,0,0,-0.014482691929560185,False
0.2929977569360274,0.29299775693585284,1,0,-0.07401382088152729,False
0.3296657550071004,0.3296657550332047,2,0,-0.09235369911919387,False
0.25538006918135725,0.2553800691813538,3,0,-0.058578708675115075,False
0.16104743629898108,0.16104743629921492,4,1,0.024232689282290536,True
0.19019819401334215,0.19019819401360305,5,1,0.013704574483662768,True
0.32207977407121446,0.3220797740718785,6,0,-0.10560758738841454,False
0.283849770047005,0.2838497700470234,7,0,-0.06414652149165441,False
0.26337524759249425,0.2633749227679242,8,0,-0.06227418214638798,False
0.17090440566480045,0.1709044056648552,9,1,0.014471759093965428,True
0.2704472958195818,0.2704472958190033,10,0,-0.05612843708740562,False
0.29260925193855464,0.2926092113641894,11,0,-0.06598524081812869,False
0.2465527003288227,0.24655270033113497,12,0,-0.053088764302841034,False
0.14780537674160013,0.14780537673968164,13,0,-0.0190606956638296,False
0.11073534784117292,0.11073534784090211,14,0,-0.008826620097536285,False
0.5479346110656581,0.5479336767094788,15,0,-0.16343462963219263,False
0.2091268162538426,0.20912437646726656,16,0,-0.02815353840013069,False
0.3381056794829844,0.3381056794921118,17,0,-0.09605887911349359,False
0.22479893596728945,0.22479893596994627,18,0,-0.020423273598376476,False
0.5148992962431391,0.5148978841793499,19,0,-0.08692051929171404,False
0.23450144406221496,0.23450144406215412,20,0,-0.0012996613939263396,False
0.24856083779147764,0.2485608377926678,21,0,-0.06187143354863689,False
0.14794580540357452,0.14794578889858423,22,0,-0.0158899999696384,False
0.364641263125859,0.3646412625343767,23,0,-0.10214621838377966,False
0.25019670374133574,0.2501967037405237,24,0,-0.046684479181127725,False
0.24835508555725605,0.24835508555512087,25,0,-0.03429597079942313,False
0.29898926662043257,0.29898926662565406,26,0,-0.05084608738848246,False
0.14705815648370454,0.14705815648303822,27,1,0.0028286925707314507,True
0.12445852032846874,0.1244585203296309,28,0,-0.014835676622562008,False
0.14454818573446515,0.14454818573445927,29,1,0.006144254037618881,True
0.21681173779669544,0.21681173781105212,30,1,0.009034679635031849,True
0.19586233660310468,0.19586233660258834,31,0,-0.018700045617615117,False
0.3303582419355364,0.3303582419422796,32,0,-0.07798467356756691,False
0.2478305217626322,0.24783052171512776,33,0,-0.034996695992520865,False
0.22647703047399634,0.22647703047401657,34,0,-0.05074209485941545,False
0.11176524209805992,0.1117652420980706,35,0,-0.011653772776110842,False
0.18687734362764552,0.18687734362773922,36,0,-0.01271028162437819,False
0.30279070639801753,0.3027907064078974,37,0,-0.08460834383931601,False
0.3058184866494912,0.3058184856744469,38,0,-0.08359621217195634,False
0.22074372835988113,0.22074372836072187,39,0,-0.006684233379694894,False
0.25694092531398444,0.25694090635399713,40,0,-0.07234453803862088,False
0.3135775251706307,0.3135775251594821,41,0,-0.0740893457399247,False
0.1916685416726262,0.191668541672665,42,0,-0.006624150780204301,False
0.2513095614251758,0.25130956142500926,43,0,-0.059430368374957,False
0.38168621611394316,0.38168621611371434,44,0,-0.11869231646040461,False
0.23237750477144778,0.2323775048003427,45,0,-0.03886857678045154,False
0.27757702082884744,0.27757702086619884,46,0,-0.04963067629250451,False
0.21072983621336527,0.21072983622359254,47,0,-0.051982642436518164,False
0.24054937159890594,0.24054937165935397,48,0,-0.002908039692492371,False
0.2935505387811562,0.29355053887865246,49,0,-0.02618259560583262,False
0.24646278193594798,0.2464627818829953,50,0,-0.023993419049989074,False
0.29378674741347205,0.29378674741419497,51,0,-0.09670831974395497,False
0.18325524928321824,0.18325517762683163,52,0,-0.000646709883372568,False
0.1877446893541515,0.1877446893547563,53,0,-0.002854663047783109,False
0.1746531195408981,0.17465300034791187,54,0,-0.014468631256475871,False
0.3267296254428438,0.3267295822736276,55,0,-0.07507970530606366,False
0.1844951604438343,0.1844951604439493,56,0,-0.022014921792235118,False
0.18120100278455067,0.1812010027844464,57,0,-0.034558288581184884,False
0.19997792025379513,0.19997792025383598,58,0,-0.038332058348697844,False
0.2133078321814565,0.21330783218850913,59,0,-0.03522257509262203,False
0.14130372213635758,0.14130372207508257,60,0,-0.009942272815070444,False
0.1696186857448309,0.1696186857448294,61,1,0.0029847767746228556,True
0.15721445577069246,0.15721445577069648,62,0,-0.014051531612773381,False
0.17163396817285603,0.17163386476716058,63,0,-0.026618933608161706,False
0.2809209078800857,0.2809209078975228,64,0,-0.07826768922087626,False
0.2626380018104977,0.2626380018141542,65,0,-0.019842093180365672,False
0.32330334783874287,0.32330334547520634,66,0,-0.09318912149197203,False
0.17569741456982638,0.17569741457596277,67,0,-0.006595029278259546,False
0.2437180625769405,0.24371777726416244,68,0,-0.02653636976851304,False
0.3385962782064752,0.33859627838043627,69,0,-0.10778022925580857,False
0.36441626572123653,0.36441626572359165,70,0,-0.12874466494393405,False
0.33990442077433136,0.3399043549019478,71,0,-0.052833764407843105,False
0.32634898225160125,0.32634898225931175,72,0,-0.0889376581234064,False
0.17961300139315878,0.17961300139317615,73,0,-0.02589379477257521,False
0.29989660285181685,0.29989588803759215,74,0,-0.05591837178980786,False
0.14159096608181745,0.1415909660818193,75,1,0.01497561258177481,True
0.17538213724692778,0.17538213724695983,76,1,0.011939774442493407,True
0.18425661357220957,0.18425661357361944,77,0,-0.007956131184917985,False
0.3315303203871564,0.3315280388151902,78,0,-0.08842410803449856,False
0.3100542866016908,0.31005428660156975,79,0,-0.033335177143748486,False
