D,I,distance_from_random,idx,status
0.31166332361036386,0.3116633236122456,0.2372628152285178,0,optimal
0.2194203113903179,0.2194201923657233,0.47607348379307657,1,optimal
0.12216051147513085,0.12216051147512585,0.5788537268253828,2,optimal
0.37641360970842175,0.3764129157214767,0.3407510113318989,3,optimal
0.2708465130041091,0.27084647552758034,0.40235941238421274,4,optimal
0.06121967819786803,0.061219678197562466,0.2646199155541728,5,optimal
0.26717428675916666,0.26717428676379484,0.37494576502255256,6,optimal
0.3513877247099891,0.3513877247100663,0.39918088093075554,7,optimal
0.41334359613855665,0.41334359613893,0.2203673724704608,8,optimal
0.5043744947141793,0.5043717870534143,0.425449319736627,9,optimal
0.19774260765117813,0.19774260762653983,0.3372193203894215,10,optimal
0.4244073103908131,0.42440731040570967,0.27634746250330977,11,optimal
0.2674660892285474,0.26746503875366945,0.4408329546421573,12,optimal
0.43677789877399326,0.43677789883013574,0.47773155840216963,13,optimal
0.2710628809017903,0.27106288090141417,0.35260583887342767,14,optimal
0.20650576745761634,0.20650576745774207,0.2622864398686954,15,optimal
0.13513796868865321,0.13513796869055095,0.23228853912791306,16,optimal
0.1341128339235326,0.13411283392324425,0.46664297937593135,17,optimal
0.2296147489709734,0.22961474895717604,0.4153349204200838,18,optimal
0.40074663696859814,0.40074663696967094,0.2763907030253706,19,optimal
0.25570508294109695,0.25570485910079666,0.43229367217116826,20,optimal
0.07886244097889089,0.07886244097909745,0.4296746193524681,21,optimal
0.40385850837915777,0.4038584908155345,0.35488357021380756,22,optimal
0.29002598831143445,0.29002025859198266,0.4012111099169582,23,optimal
0.2306072122248449,0.23060721222488734,0.3302164420642184,24,optimal
0.16728605011707598,0.16728605012218656,0.20504556123449438,25,optimal
0.3073943693100491,0.30739336001569717,0.31615877425539035,26,optimal
0.3624786331420367,0.36247862132945186,0.3967008436168703,27,optimal
0.1840034335770609,0.18400343357709736,0.39757662789187637,28,optimal
0.36485944896286476,0.3648594489630155,0.42676372501543836,29,optimal
0.13270117806795848,0.132701178067812,0.21975589600364212,30,optimal
0.2335574527931813,0.233557452802856,0.39910977313968066,31,optimal
0.2596534238887114,0.25965342398083635,0.42404807070468065,32,optimal
0.12713599036472778,0.12713599036492185,0.3846128212322738,33,optimal
0.326840079317327,0.32684007931759196,0.3462699395024314,34,optimal
0.09632892022141891,0.09632892022143613,0.4498863764181942,35,optimal
0.09476509104399813,0.09476509104399233,0.4491485154803131,36,optimal
0.2843176955652907,0.28431769556529074,0.33139923118750614,37,optimal
0.26790443530966623,0.26790443530965913,0.4814979953329872,38,optimal
0.33802868578297174,0.33802868578434475,0.266505585526006,39,optimal
0.22309172057442722,0.2230917205771512,0.25995476279304397,40,optimal
0.4814960600368311,0.48149606003681455,0.3638998332745443,41,optimal
0.2851282027964615,0.285128202797464,0.28062332478181523,42,optimal
0.17812126159289987,0.17812126159490582,0.2694968335588411,43,optimal
0.19516279841487408,0.19516279834853545,0.45058342559409365,44,optimal
0.21736878996269024,0.21736878996269748,0.36366093666602334,45,optimal
0.45119365360006836,0.4511933228913759,0.34411367994457287,46,optimal
0.144670642349206,0.1446706423497346,0.2600134137441168,47,optimal
0.21884647983642502,0.2188464798342873,0.1786756981478428,48,optimal
0.1855832830115512,0.18558328301186644,0.28976795600986716,49,optimal
