D,I,distance_from_random,idx,status
0.31166332361036386,0.3116633236122456,0.2372628152285178,0,optimal
0.2194203113903179,0.2194201923657233,0.47607348379307657,1,optimal
0.12216051147513085,0.12216051147512585,0.5788537268253828,2,optimal
0.37641360970842175,0.3764129157214767,0.3407510113318989,3,optimal
0.2708465130041091,0.27084647552758034,0.40235941238421274,4,optimal
0.06121967819786803,0.061219678197562466,0.2646199155541728,5,optimal
0.26717428675916666,0.26717428676379484,0.37494576502255256,6,optimal
0.3513877247099891,0.3513877247100663,0.39918088093075554,7,optimal
0.41334359613855665,0.41334359613893,0.2203673724704608,8,optimal
0.5043744947141793,0.5043717870534143,0.425449319736627,9,optimal
0.19774260765117813,0.19774260762653983,0.3372193203894215,10,optimal
0.4244073103908131,0.42440731040570967,0.27634746250330977,11,optimal
0.2674660892285474,0.26746503875366945,0.4408329546421573,12,optimal
0.43677789877399326,0.43677789883013574,0.47773155840216963,13,optimal
0.2710628809017903,0.27106288090141417,0.35260583887342767,14,optimal
0.20650576745761634,0.20650576745774207,0.2622864398686954,15,optimal
0.13513796868865321,0.13513796869055095,0.23228853912791306,16,optimal
0.1341128339235326,0.13411283392324425,0.46664297937593135,17,optimal
0.2296147489709734,0.22961474895717604,0.4153349204200838,18,optimal
0.40074663696859814,0.40074663696967094,0.2763907030253706,19,optimal
0.25570508294109695,0.25570485910079666,0.43229367217116826,20,optimal
0.07886244097889089,0.07886244097909745,0.4296746193524681,21,optimal
0.40385850837915777,0.4038584908155345,0.35488357021380756,22,optimal
0.29002598831143445,0.29002025859198266,0.4012111099169582,23,optimal
0.2306072122248449,0.23060721222488734,0.3302164420642184,24,optimal
0.16728605011707598,0.16728605012218656,0.20504556123449438,25,optimal
0.3073943693100491,0.30739336001569717,0.31615877425539035,26,optimal
0.3624786331420367,0.36247862132945186,0.3967008436168703,27,optimal
0.1840034335770609,0.18400343357709736,0.39757662789187637,28,optimal
0.36485944896286476,0.3648594489630155,0.42676372501543836,29,optimal
0.13270117806795848,0.132701178067812,0.21975589600364212,30,optimal
0.2335574527931813,0.233557452802856,0.39910977313968066,31,optimal
0.2596534238887114,0.25965342398083635,0.42404807070468065,32,optimal
0.12713599036472778,0.12713599036492185,0.3846128212322738,33,optimal
0.326840079317327,0.32684007931759196,0.3462699395024314,34,optimal
0.09632892022141891,0.09632892022143613,0.4498863764181942,35,optimal
0.09476509104399813,0.09476509104399233,0.4491485154803131,36,optimal
0.2843176955652907,0.28431769556529074,0.33139923118750614,37,optimal
0.26790443530966623,0.26790443530965913,0.4814979953329872,38,optimal
0.33802868578297174,0.33802868578434475,0.266505585526006,39,optimal
0.22309172057442722,0.2230917205771512,0.25995476279304397,40,optimal
0.4814960600368311,0.48149606003681455,0.3638998332745443,41,optimal
0.2851282027964615,0.285128202797464,0.28062332478181523,42,optimal
0.17812126159289987,0.17812126159490582,0.2694968335588411,43,optimal
0.19516279841487408,0.19516279834853545,0.45058342559409365,44,optimal
0.21736878996269024,0.21736878996269748,0.36366093666602334,45,optimal
0.45119365360006836,0.4511933228913759,0.34411367994457287,46,optimal
0.144670642349206,0.1446706423497346,0.2600134137441168,47,optimal
0.21884647983642502,0.2188464798342873,0.1786756981478428,48,optimal
0.1855832830115512,0.18558328301186644,0.28976795600986716,49,optimal
0.31388835322446307,0.3138883532735003,0.22875841354897813,50,optimal
0.523097674460858,0.5230962425237576,0.36592288665246264,51,optimal
0.20409257496708672,0.20409257496708777,0.42899435697191857,52,optimal
0.22825907931132633,0.2282590793790642,0.256205121156174,53,optimal
0.17649621201096177,0.1764962120106225,0.4874526387103697,54,optimal
0.2661411882782627,0.266141188275809,0.3990834946364716,55,optimal
0.31235062302409644,0.31235062303301775,0.2929995144658756,56,optimal
0.39790394715239547,0.39790388583245706,0.29128267727419127,57,optimal
0.17659648428319757,0.17659648431375963,0.3209610475430912,58,optimal
0.24513172283885937,0.24513172282833617,0.46457436432470695,59,optimal
0.1860169142009115,0.1860169142006627,0.226472502060717,60,optimal
0.5389774008199151,0.538977374291241,0.19838824192211651,61,optimal
0.2439548372714057,0.2439548365238684,0.34806316937196946,62,optimal
0.18112016392471836,0.1811201639247355,0.38468311049790993,63,optimal
0.3588344065683733,0.3588344065691068,0.31290197929713204,64,optimal
0.16461517734544884,0.16461517734543818,0.49138288346381326,65,optimal
0.1897705520224516,0.18977055202263438,0.39628048269276006,66,optimal
0.30129957248812117,0.30129957249021,0.24821982553745572,67,optimal
0.20440044437512297,0.20440044437732285,0.22624680882890663,68,optimal
0.29969174544394483,0.2996917454483857,0.3939604963261098,69,optimal
0.2394229436728585,0.2394229436819859,0.4953304897400037,70,optimal
0.2199043921512847,0.21990439219317814,0.3614128204387208,71,optimal
0.2037773809014958,0.2037773809019744,0.34559305306428717,72,optimal
0.32065870370982785,0.3206587037053902,0.35714325881523357,73,optimal
0.27172938349946907,0.27172938349946074,0.48786632908451977,74,optimal
0.2581338820283361,0.2581338820268687,0.3037177911004152,75,optimal
0.1535965111456046,0.15359651114680073,0.30811261700985304,76,optimal
0.1868602791561667,0.18686026461685634,0.41948403833381864,77,optimal
0.1295632847371029,0.1295632847364665,0.38365643072272504,78,optimal
0.18755898561557421,0.18755898561557016,0.22951371780357138,79,optimal
0.3463117710905558,0.3463117710909802,0.4137875079889588,80,optimal
0.3201560612669313,0.3201560612661021,0.2669519795450524,81,optimal
0.17161318982462326,0.17161318982464424,0.3425377956602703,82,optimal
0.20124123696952378,0.20124121120307514,0.2081649547632305,83,optimal
0.2636869191563226,0.2636847116765232,0.4836241417785509,84,optimal
0.2848401114718113,0.284840111488883,0.23137169021529047,85,optimal
0.24905267960402044,0.2490520593679426,0.338512060460342,86,optimal
0.2359404489498256,0.23594006008400403,0.3890590772666343,87,optimal
0.29397480589491487,0.293974805894725,0.32966117978636045,88,optimal
0.1540126241186811,0.154012624119098,0.34456453437753987,89,optimal
0.17283966478908042,0.17283966478909185,0.37766176581340577,90,optimal
0.3686325391488757,0.36863253914899863,0.3669775525791009,91,optimal
0.19432678579619753,0.19432547907423936,0.4551402603269786,92,optimal
0.13291742399069986,0.13291742399045336,0.4082666529463712,93,optimal
0.2703478333911052,0.2703478333975732,0.36467810683155044,94,optimal
0.11046689745486268,0.11046689745487481,0.4363767696214412,95,optimal
0.22044345932021966,0.2204434594239063,0.28306295159990735,96,optimal
0.3653144727007013,0.3653144726930144,0.5599673203521526,97,optimal
0.15881347479677782,0.15881343099839595,0.37819823494152405,98,optimal
0.3474157147047511,0.3474157146978988,0.32100938800399115,99,optimal
0.35014405636561713,0.3501440563657999,0.2333163626209726,100,optimal
0.22777358891441996,0.22777358891595145,0.2408998070331943,101,optimal
0.2066083393266809,0.20660830907160488,0.4332702366063993,102,optimal
0.19147148520174018,0.1914714852043221,0.36561304007749323,103,optimal
0.16170791483743083,0.16170791494207237,0.36443270059976846,104,optimal
0.10617088676336159,0.10617088676335706,0.44402524349753797,105,optimal
0.1747130244590333,0.17471301601334233,0.2713524414163223,106,optimal
0.19711616874350144,0.197116168743818,0.3079177659239737,107,optimal
0.29837865567412775,0.29837865584658196,0.4023656644196895,108,optimal
0.19643342584511347,0.19643048358771498,0.4046525862039594,109,optimal
0.27370704064109913,0.2737070406871147,0.3706259482307038,110,optimal
0.26559573379432444,0.26559573375715195,0.334901847735387,111,optimal
0.435846296550608,0.43584629656857177,0.2871964339815499,112,optimal
0.31373021350432956,0.31373021350433195,0.34698209907249844,113,optimal
0.23096516849088566,0.23096516848724102,0.3707075824877123,114,optimal
0.15404552982749886,0.15404376349795856,0.3151075380733692,115,optimal
0.26977782491548624,0.2697778249647296,0.3587370817648968,116,optimal
0.14069997985503388,0.14069997982364146,0.35550388489801055,117,optimal
0.19240929601076592,0.1924092960492082,0.3049804839652237,118,optimal
0.14203846878695134,0.14203846878642046,0.351532699737383,119,optimal
0.2903245180195212,0.2903245180345494,0.3528218509576394,120,optimal
0.2717159015651552,0.27171590156930125,0.40781244790088117,121,optimal
0.22052386832723767,0.22052386832720594,0.3773244329063642,122,optimal
0.2202766545488523,0.2202766545488506,0.4407459361224372,123,optimal
0.2526953871720583,0.2526953872089628,0.3313055435766409,124,optimal
0.4760038674921835,0.4760029140637432,0.35652596748951754,125,optimal
0.20924580288488792,0.2092458028816755,0.385471955608512,126,optimal
0.32095655081064395,0.3209565319636297,0.42948908699679267,127,optimal
0.14548907039072906,0.1454890703907279,0.440145715347273,128,optimal
0.18102310373942346,0.1810229594188293,0.30108366333094,129,optimal
0.09783386358165197,0.09783386358171464,0.38730957953511225,130,optimal
0.25838453513720727,0.25838453513729176,0.44326182374464573,131,optimal
0.1871663093912436,0.1871663093897561,0.2951061408419573,132,optimal
0.13647672381629522,0.13647665125155983,0.3902781722838698,133,optimal
0.19580450943151234,0.195804509431468,0.5450771955852716,134,optimal
0.15612457573546185,0.15612457556793857,0.35117801981635893,135,optimal
0.3512615172389548,0.35126151735025246,0.41668573692207467,136,optimal
0.29076822412275705,0.29076822413918246,0.36848704746396477,137,optimal
0.22470140345513334,0.22470140345809675,0.14423887490935094,138,optimal
0.20222126641669888,0.20222126641670957,0.41190933750664166,139,optimal
0.13491333799818844,0.13491333128616412,0.37038245344681997,140,optimal
0.23051801502478939,0.23051801504282232,0.29338825408256536,141,optimal
0.2112260915151039,0.21122609151580363,0.4456478388799259,142,optimal
0.36386549956713954,0.3638654996037427,0.2767344917558538,143,optimal
0.32583655479323,0.32583655478904494,0.2496584667311484,144,optimal
0.08865744607383338,0.08865744607425796,0.3911903245809928,145,optimal
0.09546564654688705,0.09546564654661127,0.2912548941805915,146,optimal
0.1874807297532113,0.1874807297668788,0.3654909266930138,147,optimal
0.1380746160193316,0.13807461601931714,0.5675597601995396,148,optimal
0.16255411814154494,0.16255411814166765,0.3717052670318227,149,optimal
0.30590091982197687,0.30590091982231726,0.3536211937419159,150,optimal
0.28923472709392906,0.28923472709398035,0.3907427687354198,151,optimal
0.21643559241613314,0.2164355786636456,0.3619963471600929,152,optimal
0.23328200772427785,0.2332820077197253,0.5939337623628826,153,optimal
0.4469077148015884,0.44690771480176184,0.23762721152994587,154,optimal
0.4608220554421961,0.46082205458241254,0.35587445655275307,155,optimal
0.27808061171080833,0.2780806117108009,0.4739458269355609,156,optimal
0.3558466712148112,0.35584667123018854,0.37746951498535697,157,optimal
0.23791209144064712,0.2379119761600792,0.41288181542918195,158,optimal
0.3049641118140291,0.3049641118139472,0.2050557388563382,159,optimal
0.2145237378141483,0.2145237378160353,0.46123603226895693,160,optimal
0.21837859982289676,0.2183785998233998,0.4514465843309051,161,optimal
0.26348095144757344,0.2634809344425326,0.3179624508011467,162,optimal
0.21193903255375324,0.2119390326248356,0.2217712106023755,163,optimal
0.47346692352928954,0.4734669235390513,0.2582481668396307,164,optimal
0.20698463561683983,0.2069846356160272,0.251065095199363,165,optimal
0.45738617434109585,0.45738617434111495,0.3539412483087787,166,optimal
0.20733286904639914,0.2073328616644463,0.3628546214535494,167,optimal
0.41420309096995106,0.41420309096955077,0.36274104513718797,168,optimal
0.08880556607503468,0.08880556607458612,0.23145715102633502,169,optimal
0.45319932387610257,0.45319932385095363,0.44297749633188005,170,optimal
0.31160553181117523,0.31160553181136363,0.36234011189268334,171,optimal
0.26502293487078726,0.2650228823556112,0.27427914326081626,172,optimal
0.24346774169901575,0.24346716495248988,0.3755501231448294,173,optimal
0.22072807652494825,0.22072807652506798,0.2920739970180276,174,optimal
0.24397500072044695,0.24397500071988887,0.4818971975205638,175,optimal
0.19241835259449655,0.19241835259482087,0.32865656824618084,176,optimal
0.20299221458651953,0.20299212111572884,0.2497751395556694,177,optimal
0.14683943212901324,0.14683943211963757,0.48943800871321563,178,optimal
0.14318218934855,0.14318218934854676,0.3215544633822316,179,optimal
0.2748084383217645,0.2748084383706516,0.4800484496644368,180,optimal
0.3753165360181179,0.3753160777999488,0.4547976269512084,181,optimal
0.11972595784685669,0.11972595784689899,0.48569200134424423,182,optimal
0.29007070900368825,0.29007070882993513,0.34717290899186926,183,optimal
0.2359199732154784,0.2359199732170908,0.23620867446394891,184,optimal
0.1870482765272299,0.18704827653507217,0.36398313758532536,185,optimal
0.2570898167227159,0.25708918002070025,0.47239688835764504,186,optimal
0.2249629508930612,0.2249629508864962,0.3879174047070848,187,optimal
0.25796559109325784,0.25796552499583014,0.38223598744859344,188,optimal
0.15669420100521889,0.15669420105095022,0.2167336297477001,189,optimal
0.32555614238747616,0.325556142387566,0.3114497224758933,190,optimal
0.46157532232785403,0.46157532232795684,0.2510998238380305,191,optimal
0.2818534054132764,0.2818534054134697,0.26492153491278103,192,optimal
0.2550094130288119,0.2550094130229489,0.3877764798381181,193,optimal
0.3275847241187563,0.327584724153165,0.3571046186418789,194,optimal
0.1119944324196363,0.11199443241964735,0.30893583012530923,195,optimal
0.23176954729662141,0.23176954730697508,0.34299518622321423,196,optimal
0.2456162052872498,0.24561620528722183,0.3305531860259348,197,optimal
0.18786273492453115,0.18786273492848737,0.3216147034040795,198,optimal
0.22128230117238742,0.22128230135735316,0.23813696904407294,199,optimal
