heuristic_ok,heuristic_residual,heuristic_status,source,target,verified_best_residual,verified_check_ok,verified_map_err,verified_ok,verified_status,verified_tp_err_A,verified_tp_err_Ap
0,0.3033383770269674,"optimal (residual=3.033e-01, threshold=1.000e-06)",3,1,0.23856129910498086,0,0.39220929078128736,0,"multistart_best_only | optimal (residual=2.386e-01, threshold=1.000e-06)",1.824307955504366e-12,9.628968329840506e-12
0,0.2135803537337723,"optimal (residual=2.136e-01, threshold=1.000e-06)",3,2,0.1562108264375565,0,0.16709681891650513,0,"multistart_best_only | optimal (residual=1.562e-01, threshold=1.000e-06)",3.949951183657706e-12,1.324648815277017e-12
0,0.1489812278042817,"optimal (residual=1.490e-01, threshold=1.000e-06)",3,4,0.09496438761187319,0,0.2525387383819454,0,"multistart_best_only | optimal (residual=9.496e-02, threshold=1.000e-06)",2.080945870863097e-11,1.7270275295686563e-11
0,0.329414434919859,"optimal (residual=3.294e-01, threshold=1.000e-06)",3,5,0.329414434919859,0,0.38061180308487635,0,"multistart_best_only | optimal (residual=3.294e-01, threshold=1.000e-06)",4.21581041070151e-13,1.730308521022843e-11
0,0.3302055617818238,"optimal (residual=3.302e-01, threshold=1.000e-06)",3,6,0.3144300083238367,0,0.35738734368705305,0,"multistart_best_only | optimal (residual=3.144e-01, threshold=1.000e-06)",1.4902420176799866e-12,1.5363262938181845e-11
0,0.16804415132302816,"optimal (residual=1.680e-01, threshold=1.000e-06)",3,7,0.10701863230948062,0,0.23572578453125984,0,"multistart_best_only | optimal (residual=1.070e-01, threshold=1.000e-06)",4.64252979299606e-11,3.7767970123055976e-11
0,0.14180102614161086,"optimal (residual=1.418e-01, threshold=1.000e-06)",4,0,0.08882200704812021,0,0.12105071340582294,0,"multistart_best_only | optimal (residual=8.882e-02, threshold=1.000e-06)",1.8847572994960537e-11,6.559612046818175e-11
0,0.29062752805507347,"optimal (residual=2.906e-01, threshold=1.000e-06)",4,1,0.2577804641141189,0,0.279184693752999,0,"multistart_best_only | optimal (residual=2.578e-01, threshold=1.000e-06)",1.1220588697233446e-10,8.525307678390179e-12
0,0.20751073146130466,"optimal (residual=2.075e-01, threshold=1.000e-06)",4,2,0.1498383335998407,0,0.15961213596875545,0,"multistart_best_only | optimal (residual=1.498e-01, threshold=1.000e-06)",6.965227506303282e-12,1.468989238167186e-11
0,0.2454067811154184,"optimal (residual=2.454e-01, threshold=1.000e-06)",4,3,0.23815724674293076,0,0.26028305263540963,0,"multistart_best_only | optimal (residual=2.382e-01, threshold=1.000e-06)",3.1853611031158804e-11,1.1701277250504331e-11
0,0.3490185984789579,"optimal (residual=3.490e-01, threshold=1.000e-06)",4,5,0.3490185984789579,0,0.3530823874742355,0,"multistart_best_only | optimal (residual=3.490e-01, threshold=1.000e-06)",6.907567308865949e-11,3.586593089424235e-11
0,0.3260793529305881,"optimal (residual=3.261e-01, threshold=1.000e-06)",4,6,0.3230418054836131,0,0.3307467303361999,0,"multistart_best_only | optimal (residual=3.230e-01, threshold=1.000e-06)",1.0083143507514205e-11,4.43127121397526e-11
0,0.16913889419783135,"optimal (residual=1.691e-01, threshold=1.000e-06)",4,7,0.039135980636874165,0,0.07439460201789527,0,"multistart_best_only | optimal (residual=3.914e-02, threshold=1.000e-06)",1.6721261831815925e-11,5.094944267326057e-11
0,0.13492142113632025,"optimal (residual=1.349e-01, threshold=1.000e-06)",5,0,0.09547583945392964,0,0.28436362940938886,0,"multistart_best_only | optimal (residual=9.548e-02, threshold=1.000e-06)",2.103014235182868e-11,2.5238740009249355e-12
0,0.2767346227502297,"optimal (residual=2.767e-01, threshold=1.000e-06)",5,1,0.1621838201920484,0,0.539735296766593,0,"multistart_best_only | optimal (residual=1.622e-01, threshold=1.000e-06)",2.005281947178973e-11,1.9365086471656104e-11
0,0.1921435486662111,"optimal (residual=1.921e-01, threshold=1.000e-06)",5,2,0.13658179367070084,0,0.3983739378248647,0,"multistart_best_only | optimal (residual=1.366e-01, threshold=1.000e-06)",2.22886515808352e-11,2.8623700148087444e-12
0,0.20858778895682784,"optimal (residual=2.086e-01, threshold=1.000e-06)",5,3,0.18050232885264877,0,0.43043741553756,0,"multistart_best_only | optimal (residual=1.805e-01, threshold=1.000e-06)",2.085077705901148e-11,1.2171437724322559e-11
