D,I,entanglement_class,idx,is_ppt,log_negativity,min_pt_eig,pt_negativity,separable_if_low_dim
0.2894586915891896,0.28945869157904425,npt_entangled,0,0,0.041194448339933507,-0.014482691929560185,0.014482691929560185,False
0.2929977569360274,0.29299775693585284,npt_entangled,1,0,0.19915737908188066,-0.07401382088152729,0.07401382088152729,False
0.3296657550071004,0.3296657550332047,npt_entangled,2,0,0.24453078297493272,-0.09235369911919387,0.09235369911919387,False
0.25538006918135725,0.2553800691813538,npt_entangled,3,0,0.15983248862266786,-0.058578708675115075,0.058578708675115075,False
0.16104743629898108,0.16104743629921492,separable,4,1,0.0,0.024232689282290536,0.0,True
0.19019819401334215,0.19019819401360305,separable,5,1,0.0,0.013704574483662768,0.0,True
0.32207977407121446,0.3220797740718785,npt_entangled,6,0,0.2764551854347435,-0.10560758738841454,0.10560758738841454,False
0.283849770047005,0.2838497700470234,npt_entangled,7,0,0.1741418166306757,-0.06414652149165441,0.06414652149165441,False
0.26337524759249425,0.2633749227679242,npt_entangled,8,0,0.16934570951492173,-0.06227418214638798,0.06227418214638798,False
0.17090440566480045,0.1709044056648552,separable,9,1,0.0,0.014471759093965428,0.0,True
0.2704472958195818,0.2704472958190033,npt_entangled,10,0,0.1534900149508891,-0.05612843708740562,0.05612843708740562,False
0.29260925193855464,0.2926092113641894,npt_entangled,11,0,0.1788363375406092,-0.06598524081812869,0.06598524081812869,False
0.2465527003288227,0.24655270033113497,npt_entangled,12,0,0.14558293989976726,-0.053088764302841034,0.053088764302841034,False
0.14780537674160013,0.14780537673968164,npt_entangled,13,0,0.053975153162737315,-0.0190606956638296,0.0190606956638296,False
0.11073534784117292,0.11073534784090211,npt_entangled,14,0,0.025246054661958228,-0.008826620097536285,0.008826620097536285,False
0.5479346110656581,0.5479336767094788,npt_entangled,15,0,0.40802622428517493,-0.16343462963219263,0.16343462963219263,False
0.2091268162538426,0.20912437646726656,npt_entangled,16,0,0.07902929849961333,-0.02815353840013069,0.02815353840013069,False
0.3381056794829844,0.3381056794921118,npt_entangled,17,0,0.2535267532656234,-0.09605887911349359,0.09605887911349359,False
