heuristic_ok,heuristic_residual,heuristic_status,source,target,verified_ok,verified_status
0,0.2501488357400453,"optimal (residual=2.501e-01, threshold=1.000e-06)",0,1,0,"multistart_best_only | optimal (residual=2.485e-01, threshold=1.000e-06)"
0,0.16712372250266108,"optimal (residual=1.671e-01, threshold=1.000e-06)",0,2,0,"multistart_best_only | optimal (residual=1.668e-01, threshold=1.000e-06)"
0,0.20538639335972456,"optimal (residual=2.054e-01, threshold=1.000e-06)",0,3,0,"multistart_best_only | optimal (residual=1.819e-01, threshold=1.000e-06)"
0,0.15051998596649174,"optimal (residual=1.505e-01, threshold=1.000e-06)",0,4,0,"multistart_best_only | optimal (residual=7.390e-02, threshold=1.000e-06)"
0,0.3561643892249337,"optimal (residual=3.562e-01, threshold=1.000e-06)",0,5,0,"multistart_best_only | optimal (residual=3.478e-01, threshold=1.000e-06)"
0,0.3295035128718315,"optimal (residual=3.295e-01, threshold=1.000e-06)",0,6,0,"multistart_best_only | optimal (residual=3.056e-01, threshold=1.000e-06)"
0,0.13965466750163477,"optimal (residual=1.397e-01, threshold=1.000e-06)",0,7,0,"multistart_best_only | optimal (residual=8.040e-02, threshold=1.000e-06)"
0,0.11646081694530248,"optimal (residual=1.165e-01, threshold=1.000e-06)",1,0,0,"multistart_best_only | optimal (residual=9.554e-02, threshold=1.000e-06)"
0,0.1323355380268869,"optimal (residual=1.323e-01, threshold=1.000e-06)",1,2,0,"multistart_best_only | optimal (residual=1.201e-01, threshold=1.000e-06)"
0,0.2620324280912755,"optimal (residual=2.620e-01, threshold=1.000e-06)",1,3,0,"multistart_best_only | optimal (residual=1.979e-01, threshold=1.000e-06)"
0,0.1607089872304819,"optimal (residual=1.607e-01, threshold=1.000e-06)",1,4,0,"multistart_best_only | optimal (residual=7.322e-02, threshold=1.000e-06)"
0,0.35325000462584416,"optimal (residual=3.533e-01, threshold=1.000e-06)",1,5,0,"multistart_best_only | optimal (residual=2.672e-01, threshold=1.000e-06)"
0,0.32167425380646797,"optimal (residual=3.217e-01, threshold=1.000e-06)",1,6,0,"multistart_best_only | optimal (residual=2.861e-01, threshold=1.000e-06)"
0,0.14027309059633392,"optimal (residual=1.403e-01, threshold=1.000e-06)",1,7,0,"multistart_best_only | optimal (residual=6.826e-02, threshold=1.000e-06)"
0,0.08996628759105091,"optimal (residual=8.997e-02, threshold=1.000e-06)",2,0,0,"multistart_best_only | optimal (residual=8.997e-02, threshold=1.000e-06)"
0,0.18433427660623097,"optimal (residual=1.843e-01, threshold=1.000e-06)",2,1,0,"multistart_best_only | optimal (residual=1.740e-01, threshold=1.000e-06)"
0,0.21931358455213734,"optimal (residual=2.193e-01, threshold=1.000e-06)",2,3,0,"multistart_best_only | optimal (residual=1.919e-01, threshold=1.000e-06)"
0,0.1351780641452995,"optimal (residual=1.352e-01, threshold=1.000e-06)",2,4,0,"multistart_best_only | optimal (residual=1.170e-01, threshold=1.000e-06)"
0,0.33762290000148293,"optimal (residual=3.376e-01, threshold=1.000e-06)",2,5,0,"multistart_best_only | optimal (residual=3.376e-01, threshold=1.000e-06)"
0,0.3000309851430755,"optimal (residual=3.000e-01, threshold=1.000e-06)",2,6,0,"multistart_best_only | optimal (residual=2.882e-01, threshold=1.000e-06)"
0,0.08499673205498494,"optimal (residual=8.500e-02, threshold=1.000e-06)",2,7,0,"multistart_best_only | optimal (residual=7.780e-02, threshold=1.000e-06)"
0,0.12394575222593351,"optimal (residual=1.239e-01, threshold=1.000e-06)",3,0,0,"multistart_best_only | optimal (residual=8.843e-02, threshold=1.000e-06)"
